network_name,seed_method,threshold,seed_size,budget_total,interaction_1_2,interaction_2_1,smart_method,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,degree_0,degree_1,degree_2,degree_3
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3035,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,53049,11,10,22807
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3414,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,53982,11,10,21874
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3793,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,54965,11,10,20891
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4173,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,55861,18,11,19987
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4552,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,56701,17,11,19148
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4932,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,57524,16,11,18326
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,5311,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,58403,17,11,17446
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,37,2,1,MCICH_SMC,51935,1,0,23941,51935,1,2,23939,52575,4,1,23297
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,75,2,1,MCICH_SMC,51935,1,0,23941,51935,1,2,23939,52931,5,2,22939
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,379,2,1,MCICH_SMC,51935,1,0,23941,52129,24,6,23718,54621,5,2,21249
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,758,2,1,MCICH_SMC,51935,1,0,23941,52129,24,6,23718,55927,5,3,19942
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1138,2,1,MCICH_SMC,51935,1,0,23941,52129,24,6,23718,57189,7,5,18676
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1517,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,58317,9,6,17545
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1896,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,59336,8,6,16527
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,2276,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,60334,8,6,15529
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,2655,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,61185,10,6,14676
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3035,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,61923,10,6,13938
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3414,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,62703,9,6,13159
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3793,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,63488,11,6,12372
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4173,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,64301,11,6,11559
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4552,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,65079,12,6,10780
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4932,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,65782,14,6,10075
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,5311,2,1,MCICH_SMC,51935,1,0,23941,75857,7,6,7,66707,16,6,9148
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,37,2,1,MCICH_SMC,57123,1,0,18753,57138,13,0,18726,57670,6,2,18199
