time,threshold,blocking,state_0,state_1,state_2,state_3
14,2,no_block,-2,0,0,2
15,2,no_block,-2,0,0,2
16,2,no_block,0,0,0,0
2,2,mcich,-157,8,146,3
3,2,mcich,-752,-13,752,13
4,2,mcich,-955,0,955,0
5,2,mcich,-1161,0,1161,0
6,2,mcich,-1142,-1,1142,1
7,2,mcich,-551,0,551,0
8,2,mcich,-170,0,170,0
9,2,mcich,-69,0,69,0
10,2,mcich,0,0,0,0
2,2,degree,-176,56,68,52
3,2,degree,-513,-29,237,305
4,2,degree,-389,-29,73,345
5,2,degree,-513,0,186,327
6,2,degree,-917,26,384,507
7,2,degree,-963,-17,148,832
8,2,degree,-731,-13,7,737
9,2,degree,-334,0,-378,712
10,2,degree,-123,0,-338,461
11,2,degree,-48,0,-134,182
12,2,degree,-28,0,-44,72
13,2,degree,-12,0,-29,41
14,2,degree,-9,0,-19,28
15,2,degree,-4,0,-26,30
16,2,degree,-2,0,-9,11
17,2,degree,0,0,-5,5
18,2,degree,0,0,0,0
2,2,random,-217,71,59,87
3,2,random,-731,-25,100,656
4,2,random,-973,27,102,844
5,2,random,-1172,22,-2,1152
6,2,random,-1085,-46,-52,1183
7,2,random,-551,4,-51,598
8,2,random,-166,-3,-30,199
9,2,random,-75,-5,-6,86
10,2,random,-15,1,0,14
11,2,random,-5,1,0,4
12,2,random,-2,1,0,1
13,2,random,-2,0,0,2
14,2,random,-2,0,0,2
15,2,random,-2,0,0,2
16,2,random,0,0,0,0
2,3,no_block,-95,46,30,19
3,3,no_block,-505,112,90,303
4,3,no_block,-472,-8,88,392
5,3,no_block,-574,-132,100,606
6,3,no_block,-555,-19,-91,665
7,3,no_block,-504,23,76,405
8,3,no_block,-586,-18,-16,620
9,3,no_block,-309,-10,-152,471
10,3,no_block,-219,0,-49,268
11,3,no_block,-134,0,-3,137
12,3,no_block,-83,0,-13,96
13,3,no_block,-43,0,-29,72
14,3,no_block,-10,0,-29,39
15,3,no_block,-4,0,-5,9
16,3,no_block,-3,0,-1,4
17,3,no_block,-2,0,-1,3
18,3,no_block,-2,0,0,2
19,3,no_block,0,0,-2,2
20,3,no_block,0,0,0,0
2,3,mcich,0,0,0,0
3,3,mcich,0,0,0,0
2,3,degree,-55,29,20,6
3,3,degree,-262,48,164,50
4,3,degree,-323,14,219,90
5,3,degree,-268,-49,60,257
6,3,degree,-169,-44,-59,272
7,3,degree,-235,-1,105,131
8,3,degree,-392,-2,268,126
9,3,degree,-383,0,286,97
10,3,degree,-365,-1,256,110
11,3,degree,-447,0,236,211
12,3,degree,-259,0,-97,356
13,3,degree,-213,0,-146,359
14,3,degree,-169,0,-43,212
15,3,degree,-114,0,-23,137
16,3,degree,-68,0,-137,205
17,3,degree,-41,0,-327,368
18,3,degree,-12,0,-238,250
19,3,degree,-9,0,-115,124
20,3,degree,-6,0,-73,79
21,3,degree,-3,0,-40,43
22,3,degree,-1,0,-22,23
23,3,degree,-1,0,-29,30
24,3,degree,0,0,-16,16
25,3,degree,0,0,-4,4
26,3,degree,0,0,-1,1
27,3,degree,0,0,0,0
2,3,random,-95,47,31,17
3,3,random,-503,114,94,295
4,3,random,-462,-7,91,378
5,3,random,-569,-122,110,581
6,3,random,-559,-11,-35,605
7,3,random,-474,14,81,379
8,3,random,-608,1,32,575
9,3,random,-312,-5,-148,465
10,3,random,-225,4,-49,270
11,3,random,-133,6,-12,139
12,3,random,-89,5,-19,103
13,3,random,-45,0,-28,73
14,3,random,-12,0,-24,36
15,3,random,-4,0,-6,10
16,3,random,-3,0,-1,4
17,3,random,-2,0,-1,3
18,3,random,-2,0,0,2
19,3,random,0,0,-2,2
20,3,random,0,0,0,0
2,4,no_block,-31,8,22,1
3,4,no_block,-332,122,204,6
4,4,no_block,-293,119,86,88
5,4,no_block,-363,36,-38,365
6,4,no_block,-397,-69,101,365
7,4,no_block,-249,-106,-124,479
8,4,no_block,-315,35,-64,344
9,4,no_block,-233,-141,51,323
10,4,no_block,-278,-4,104,178
11,4,no_block,-288,20,46,222
12,4,no_block,-195,-10,-89,294
13,4,no_block,-133,19,-133,247
14,4,no_block,-47,-30,-102,179
